#,wappen,Club,Club.1,League,"Value Mar 15, 2015",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Real Madrid,LaLiga,€719.80m,€1.27bn,76.7 %,,,
2.0,,FC Barcelona,LaLiga,€597.00m,€1.02bn,70.7 %,,,
3.0,,Atlético de Madrid,LaLiga,€338.00m,€515.80m,52.6 %,,,
4.0,,Real Sociedad,LaLiga,€94.50m,€383.80m,306.1 %,,,
5.0,,Athletic Bilbao,LaLiga,€110.70m,€367.00m,231.5 %,,,
6.0,,Villarreal CF,LaLiga,€107.50m,€218.60m,103.3 %,,,
7.0,,Valencia CF,LaLiga,€218.00m,€214.90m,-1.4 %,,,
8.0,,Girona FC,LaLiga2,€10.40m,€180.70m,1637.5 %,,,
9.0,,Sevilla FC,LaLiga,€150.30m,€174.50m,16.1 %,,,
10.0,,Real Betis Balompié,LaLiga2,€34.10m,€173.10m,407.6 %,,,
11.0,,UD Las Palmas,LaLiga2,€17.10m,€125.30m,632.7 %,,,
12.0,,CA Osasuna,LaLiga2,€17.60m,€109.00m,519.3 %,,,
13.0,,Celta de Vigo,LaLiga,€58.90m,€94.90m,61.1 %,,,
14.0,,RCD Espanyol Barcelona,LaLiga,€60.30m,€90.60m,50.2 %,,,
15.0,,RCD Mallorca,LaLiga2,€18.60m,€82.20m,341.9 %,,,
16.0,,Getafe CF,LaLiga,€43.10m,€76.80m,78.2 %,,,
17.0,,Deportivo Alavés,LaLiga2,€8.40m,€73.00m,769.0 %,,,
18.0,,Rayo Vallecano,LaLiga,€47.20m,€67.90m,43.9 %,,,
19.0,,Real Valladolid CF,LaLiga2,€30.30m,€43.30m,42.9 %,,,
20.0,,CD Leganés,LaLiga2,€10.40m,€40.40m,288.5 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€2.69bn,€5.32bn,97.7 %
