#,wappen,Club,Club.1,League,"Value Mar 15, 2023",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Manchester City,Premier League,€1.05bn,€1.31bn,24.5 %,,,
2.0,,Arsenal FC,Premier League,€803.00m,€1.13bn,40.3 %,,,
3.0,,Liverpool FC,Premier League,€931.00m,€993.50m,6.7 %,,,
4.0,,Chelsea FC,Premier League,€1.03bn,€922.00m,-10.9 %,,,
5.0,,Tottenham Hotspur,Premier League,€711.30m,€836.10m,17.5 %,,,
6.0,,Manchester United,Premier League,€759.20m,€694.25m,-8.6 %,,,
7.0,,Newcastle United,Premier League,€474.40m,€635.00m,33.9 %,,,
8.0,,Aston Villa,Premier League,€445.80m,€627.50m,40.8 %,,,
9.0,,Brighton & Hove Albion,Premier League,€308.60m,€555.60m,80.0 %,,,
10.0,,West Ham United,Premier League,€471.50m,€454.30m,-3.6 %,,,
11.0,,Nottingham Forest,Premier League,€332.65m,€447.18m,34.4 %,,,
12.0,,Crystal Palace,Premier League,€309.20m,€441.00m,42.6 %,,,
13.0,,AFC Bournemouth,Premier League,€226.70m,€435.35m,92.0 %,,,
14.0,,Brentford FC,Premier League,€305.10m,€417.10m,36.7 %,,,
15.0,,Wolverhampton Wanderers,Premier League,€393.70m,€408.80m,3.8 %,,,
16.0,,Everton FC,Premier League,€368.10m,€365.10m,-0.8 %,,,
17.0,,Fulham FC,Premier League,€245.50m,€362.00m,47.5 %,,,
18.0,,Ipswich Town,League One,€14.95m,€279.60m,1770.2 %,,,
19.0,,Southampton FC,Premier League,€387.50m,€273.60m,-29.4 %,,,
20.0,,Leicester City,Premier League,€455.10m,€273.30m,-39.9 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€10.03bn,€11.85bn,18.2 %
