#,wappen,Club,Club.1,League,"Value Mar 15, 2013",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Inter Milan,Serie A,€202.38m,€663.80m,228.0 %,,,
2.0,,Juventus FC,Serie A,€320.90m,€623.20m,94.2 %,,,
3.0,,AC Milan,Serie A,€210.30m,€523.50m,148.9 %,,,
4.0,,Atalanta BC,Serie A,€59.45m,€478.60m,705.0 %,,,
5.0,,SSC Napoli,Serie A,€207.05m,€355.55m,71.7 %,,,
6.0,,AS Roma,Serie A,€158.90m,€304.00m,91.3 %,,,
7.0,,SS Lazio,Serie A,€128.18m,€290.60m,126.7 %,,,
8.0,,Bologna FC 1909,Serie A,€54.10m,€286.30m,429.2 %,,,
9.0,,ACF Fiorentina,Serie A,€157.35m,€281.80m,79.1 %,,,
10.0,,Torino FC,Serie A,€52.65m,€191.10m,263.0 %,,,
11.0,,Como 1907,Serie C - A,€3.75m,€176.05m,4594.7 %,,,
12.0,,Genoa CFC,Serie A,€74.25m,€157.35m,111.9 %,,,
13.0,,Udinese Calcio,Serie A,€86.80m,€154.50m,78.0 %,,,
14.0,,Parma Calcio 1913,Serie A,€62.98m,€153.30m,143.4 %,,,
15.0,,FC Empoli,Serie B,€13.10m,€96.10m,633.6 %,,,
16.0,,Hellas Verona,Serie B,€21.35m,€86.45m,304.9 %,,,
17.0,,AC Monza,,€2.25m,€84.73m,3665.6 %,,,
18.0,,Cagliari Calcio,Serie A,€62.70m,€78.90m,25.8 %,,,
19.0,,US Lecce,Serie C - A,€7.93m,€77.08m,872.6 %,,,
20.0,,Venezia FC,,€3.33m,€76.50m,2200.8 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€1.89bn,€5.14bn,172.0 %
