#,wappen,Club,Club.1,League,"Value Mar 15, 2020",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Manchester City,Premier League,€1.27bn,€1.31bn,2.9 %,,,
2.0,,Arsenal FC,Premier League,€706.75m,€1.13bn,59.5 %,,,
3.0,,Liverpool FC,Premier League,€1.19bn,€993.50m,-16.8 %,,,
4.0,,Chelsea FC,Premier League,€829.05m,€922.00m,11.2 %,,,
5.0,,Tottenham Hotspur,Premier League,€863.50m,€836.10m,-3.2 %,,,
6.0,,Manchester United,Premier League,€798.75m,€694.25m,-13.1 %,,,
7.0,,Newcastle United,Premier League,€307.83m,€635.00m,106.3 %,,,
8.0,,Aston Villa,Premier League,€269.90m,€627.50m,132.5 %,,,
9.0,,Brighton & Hove Albion,Premier League,€227.25m,€555.60m,144.5 %,,,
10.0,,West Ham United,Premier League,€351.75m,€454.30m,29.2 %,,,
11.0,,Nottingham Forest,Championship,€67.35m,€447.18m,564.0 %,,,
12.0,,Crystal Palace,Premier League,€215.00m,€441.00m,105.1 %,,,
13.0,,AFC Bournemouth,Premier League,€335.75m,€435.35m,29.7 %,,,
14.0,,Brentford FC,Championship,€84.55m,€417.10m,393.3 %,,,
15.0,,Wolverhampton Wanderers,Premier League,€365.55m,€408.80m,11.8 %,,,
16.0,,Everton FC,Premier League,€504.70m,€365.10m,-27.7 %,,,
17.0,,Fulham FC,Championship,€141.75m,€362.00m,155.4 %,,,
18.0,,Ipswich Town,League One,€13.68m,€279.60m,1944.6 %,,,
19.0,,Southampton FC,Premier League,€223.50m,€273.60m,22.4 %,,,
20.0,,Leicester City,Premier League,€504.25m,€273.30m,-45.8 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€9.27bn,€11.85bn,27.8 %
