#,wappen,Club,Club.1,League,"Value Mar 15, 2016",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Bayern Munich,Bundesliga,€578.55m,€859.00m,48.5 %,,,
2.0,,Bayer 04 Leverkusen,Bundesliga,€211.10m,€644.05m,205.1 %,,,
3.0,,RB Leipzig,2. Bundesliga,€39.35m,€510.75m,1198.0 %,,,
4.0,,Borussia Dortmund,Bundesliga,€315.65m,€436.40m,38.3 %,,,
5.0,,VfB Stuttgart,Bundesliga,€73.95m,€330.23m,346.6 %,,,
6.0,,Eintracht Frankfurt,Bundesliga,€76.30m,€323.05m,323.4 %,,,
7.0,,VfL Wolfsburg,Bundesliga,€183.10m,€252.00m,37.6 %,,,
8.0,,TSG 1899 Hoffenheim,Bundesliga,€84.63m,€172.75m,104.1 %,,,
9.0,,SC Freiburg,2. Bundesliga,€31.55m,€165.85m,425.7 %,,,
10.0,,1.FSV Mainz 05,Bundesliga,€67.63m,€152.60m,125.7 %,,,
11.0,,Borussia Mönchengladbach,Bundesliga,€166.65m,€147.40m,-11.6 %,,,
12.0,,SV Werder Bremen,Bundesliga,€59.83m,€126.15m,110.9 %,,,
13.0,,FC Augsburg,Bundesliga,€58.65m,€119.13m,103.1 %,,,
14.0,,1.FC Union Berlin,2. Bundesliga,€17.45m,€113.18m,548.6 %,,,
15.0,,1.FC Heidenheim 1846,2. Bundesliga,€11.70m,€66.78m,470.7 %,,,
16.0,,FC St. Pauli,2. Bundesliga,€15.60m,€61.03m,291.2 %,,,
17.0,,VfL Bochum,2. Bundesliga,€15.70m,€59.45m,278.7 %,,,
18.0,,Holstein Kiel,3. Liga,€6.38m,€46.63m,631.4 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€2.01bn,€4.59bn,127.8 %
